#\kappa_tau,\kappa_tau_tilde,\lnLog
-1.94,0.26,126.38660383940497
-1.94,0.28,126.97375337003854
-1.94,0.3,127.60331179428344
-1.94,0.32,128.2743878337681
-1.94,0.34,128.99409814199012
-1.94,0.36,129.74352978597364
-1.94,0.38,130.53172308751266
-1.94,0.4,131.3646326105165
-1.94,0.42,132.2527928641458
-1.94,0.44,133.18875675248393
-1.94,0.46,134.1576156631205
-1.94,0.48,135.1576277471745
-1.94,0.5,136.18639151644464
-1.94,0.52,137.24827000643697
-1.94,0.54,138.346222804524
-1.94,0.56,139.49170624571798
-1.94,0.58,140.69421277562154
-1.94,0.6,141.93945867031664
-1.94,0.62,143.20890774481228
-1.94,0.64,144.51778624038616
-1.94,0.66,145.8707143249789
-1.94,0.68,147.25702242584572
-1.94,0.7,148.68005184165258
-1.94,0.72,150.13514013976376
-1.94,0.74,151.62460449535558
-1.94,0.76,153.14103236171596
-1.94,0.78,154.69442887783998
-1.94,0.8,156.283127909268
-1.94,0.82,157.92751748609334
-1.94,0.84,159.59863439135785
-1.94,0.86,161.31150434666088
-1.94,0.88,163.0378807297812
-1.94,0.9,164.8013792166496
-1.94,0.92,166.57740053729853
-1.94,0.94,168.38909059836485
-1.94,0.96,170.2257151630937
-1.94,0.98,172.1181505412882
-1.94,1.0,174.05484973173878
-1.94,1.02,176.02546532288943
-1.94,1.04,178.02228263182948
-1.94,1.06,180.03137430996188
-1.94,1.08,182.05076955751045
-1.94,1.1,184.09562605627704
-1.94,1.12,186.17880420707357
-1.94,1.14,188.30840505051427
-1.94,1.16,190.471969613789
-1.94,1.18,192.66071415869868
-1.94,1.2,194.88007333437253
-1.94,1.22,197.12900883196014
-1.94,1.24,199.40270889880426
-1.94,1.26,201.67593695054424
-1.94,1.28,203.97973390324566
-1.94,1.3,206.29223788966613
-1.94,1.32,208.6272526959978
-1.94,1.34,210.9785864923977
-1.94,1.36,213.3512190199483
-1.94,1.38,215.75425557871839
-1.94,1.4,218.16924024930023
-1.94,1.42,220.60696405067162
-1.94,1.44,223.07543308379414
-1.94,1.46,225.58624974522624
-1.94,1.48,228.1196610755995
-1.94,1.5,230.6651406785974
-1.94,1.52,233.21148894184046
-1.94,1.54,235.75247233262
-1.94,1.56,238.3026725634252
-1.94,1.58,240.86628536796354
-1.94,1.6,243.45785676581366
-1.94,1.62,246.1070249937723
-1.94,1.64,248.77672753929158
-1.94,1.66,251.48053410762353
-1.94,1.68,254.16427257493305
-1.94,1.7,256.8499832549577
-1.94,1.72,259.5438844214017
-1.94,1.74,262.23657103994753
-1.94,1.76,264.94601015094065
-1.94,1.78,267.6906576406665
-1.94,1.8,270.4482874640313
-1.94,1.82,273.21459643370923
-1.94,1.84,275.97237797913044
-1.94,1.86,278.73109876323093
-1.94,1.88,281.50035138321545
-1.94,1.9,284.2957522781275
-1.94,1.92,287.10680595474184
-1.94,1.94,289.9533242083031
-1.94,1.96,292.8144267757929
-1.94,1.98,295.6967765925045
